,User,Tweet
167,brianmakumby,https://t.co/PwrabtOrsL
168,BestMediaInfo,.@_PVRCinemas collaborates with @Visa for @FIFAWorldCup Qatar 2022 viewing parties for football fans in India: Best Media Info https://t.co/u735X9qQEJ
169,Varun9Vijay,RT @GuardianUS: US soccer journalist Grant Wahl dies while covering Qatar World Cup https://t.co/vRRr1nUx4k
170,Akiqeer,"In a situation where the facts are all against Babar &amp; Co. But the heart wants to support them in every situation, We will Bounce back very soon, I.A, 2022 wasn't our year, we lost Final of Asia Cup, T20 World Cup Final,...
1/2
#PakvsEng2022 #PAKvENG  #PAKvsENG #BabarAzam𓃵 https://t.co/xjqYl6gsKZ"
171,mednin,RT @EnemyInAState: 'Camel flu' means MERS which is a highly fatal coronavirus that kills 1 in 3 who get it: it's a more severe version of C…
172,forkingkoo,"RT @ChartsJJK: 2022 World Cup songs streams — Spotify + YouTube: 

#1 Dreamers — 70.9M + 196M = 266.9M (20 days) 👑
#2 Hayya — 13.6M + 84.3M…"
173,Davina_rh,"RT @the_real_comfyy: Choose your betting options for World Cup 2022, place stakes on top matches and get excited about World Cup 2022 with…"
174,PainInThArsenal,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
175,jimi151272,RT @republic: #FIFAWorldCup | Spanish referee who issued record 15 yellow cards in Argentina vs Netherlands match sent back home: Report ht…
176,LanreAduke,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…"
