,User,Tweet,Date
95,o_a_a_i_mrl,RT @trtworld: Captivating infinite zoom artwork created by Palestinian artist and medical student Azzedine Lulu takes viewers through momen…,2022-12-12 09:29:06+00:00
96,d4xT00CpMKnJq4M,"RT @soccanime: FIFA WORLD CUP QATAR 2022
ラウンド16
日本 1-1 クロアチア
PK 1-3

前田⚽ https://t.co/qyes5EtYdG",2022-12-12 09:29:04+00:00
97,kingrooku,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:29:03+00:00
98,KhelNowWF,"Croatia predicted lineup for FIFA World Cup semi-final clash against Argentina 🔥⤵️

#Croatia #Argentina #FIFAWorldCup #Qatar2022 #FIFAWorldCup2022 

https://t.co/C4TNhnCmNm",2022-12-12 09:29:03+00:00
99,TheAgent_X,RT @EnemyInAState: 'Camel flu' means MERS which is a highly fatal coronavirus that kills 1 in 3 who get it: it's a more severe version of C…,2022-12-12 09:29:02+00:00
100,MSportUganda,"🚨 OFFICIAL! Adidas unveils the ball for the 2022 World Cup final! ⚽️✨

#FIFAWorldCup #MSport https://t.co/1Y4fkeiLXr",2022-12-12 09:28:58+00:00
101,westhamtransfer,"West Ham are guaranteed to have a player representing them in the 2022 World Cup final. 

🇲🇦🇫🇷 https://t.co/xZxQFFxAYE",2022-12-12 09:28:55+00:00
102,KelvinOpuni,RT @AbsoluteChelsea: #Chelsea are exploring the possibility of signing Youssoufa Moukoko. A move is 'certainly not done' but other Premier…,2022-12-12 09:28:54+00:00
103,ronague,RT @1goodtern: Adam Finn will be on BBC breakfast tomorrow to tell people that camel flu is mild in most people and that the reason people…,2022-12-12 09:28:53+00:00
104,SunnyDeco,RT @MichaelJStern1: There must be an autopsy and legitimate investigation to see if Wahl was murdered after being detained in Qatar for wea…,2022-12-12 09:28:49+00:00
105,daveflanagan,"For me, the greatest moment so far from the 2022 World Cup came in Saturdays Quarter Final match - Morocco vs Portugal. 

#WorldCup2022 #worldcup #morocco #MoroccoVsPortugal https://t.co/fbGBYxN7wO",2022-12-12 09:28:48+00:00
106,Footbal23969808,"(LIVE) Streaming FIFA World Cup 2022, Semi-final 
 Live

Argentina vs Croatia prediction, Watch Live Stream Online
France vs Morocco Prediction, Watch Live Stream Online Tv

👇 👇
🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/I7chaB6U9S

🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/I7chaB6U9S https://t.co/vJICA6aX3x",2022-12-12 09:28:48+00:00
107,jaimepaiva,"RT @KenRoth: ""A whistleblower who was jailed in Qatar after raising concerns about the mistreatment of migrant workers at World Cup stadium…",2022-12-12 09:28:45+00:00
108,KennyOnThaBeat_,"RT @AmeTitus: 💥KEDEZEMBER TO REMEMBER💥

🗓️ 17 Dec 2022
📍 Mesh Gardens LL Area 49
🎫 MWK 4000
🕙 9:00AM 

• DJs • MUSIC • FOOD • DRINKS • COCK…",2022-12-12 09:28:44+00:00
109,Karma_Paljor,"RT @EastMojo: #Bengal | Though the craze for the world cup has died down following the exit of Brazil and Portugal, Argentina's advance to…",2022-12-12 09:28:43+00:00
110,Ritzy774,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:28:41+00:00
111,tulasiramsunka1,"RT @IEEEorg: How will #IoT, #AI and #5G technologies be key players at the 2022 #WorldCup? Discover the latest innovations that will be on…",2022-12-12 09:28:38+00:00
112,Richman45411942,"RT @toisports: After Neymar, Croatia aim to end Lionel Messi's FIFA World Cup dream 

READ: https://t.co/55Rj2beKYF

#Messi #Neymar #Croati…",2022-12-12 09:28:38+00:00
113,Footbal23969808,"(LIVE) Streaming FIFA World Cup 2022, Semi-final 
 Live

Argentina vs Croatia prediction, Watch Live Stream Online
France vs Morocco Prediction, Watch Live Stream Online Tv

👇 👇
🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/I7chaB6U9S

🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/I7chaB6U9S https://t.co/xptHKEj6XV",2022-12-12 09:28:38+00:00
114,Aggiriftakhul,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:28:37+00:00
115,Lawrence_KC,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:28:34+00:00
116,valdyaprian,"RT @Tommy_desky: Bedah Tim produksi siaran langsung FIFA World Cup 2022.

Di Pildun 2022 memakai 42 Kamera &amp; sekitar 2500 crew produksi sia…",2022-12-12 09:28:34+00:00
117,Biiiille,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:28:31+00:00
118,Footbal23969808,"(LIVE) Streaming FIFA World Cup 2022, Semi-final 
 Live

Argentina vs Croatia prediction, Watch Live Stream Online
France vs Morocco Prediction, Watch Live Stream Online Tv

👇 👇
🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/I7chaB6U9S

🔴𝕃𝕀𝕍𝔼 𝐋𝐢𝐧𝐤🔴 https://t.co/I7chaB6U9S https://t.co/L2a5y0ppbZ",2022-12-12 09:28:28+00:00
119,si_kimak,"RT @psg_chief: Top Rated Players of the 𝐅𝐈𝐅𝐀 World Cup 2022 :

🥇 🇦🇷 Leo Messi - 8.09
🥈 🇫🇷 Kylian Mbappe - 7.98
🥉 🇫🇷 Antoine Griezmann - 7.6…",2022-12-12 09:28:27+00:00
120,MSportOfficial,"🚨 OFFICIAL! Adidas unveils the ball for the 2022 World Cup final! ⚽️✨

#FIFAWorldCup #MSport https://t.co/bm9xkAptTq",2022-12-12 09:28:26+00:00
121,GoonerKal,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:28:22+00:00
122,AlbertO76240252,"RT @afcstuff: The full article on potential January moves for Arsenal, including Mykhaylo Mudryk, Yunus Musah, Joao Felix, Matheus Cunha &amp;…",2022-12-12 09:28:19+00:00
123,johnnie_mc,RT @jhendy_10: England and the 2022 FIFA World Cup 🇶🇦 🏆 Thread:,2022-12-12 09:28:18+00:00
